Filename	12OCB
Instrument name	DSC2A-00101 (192.168.10.4)
Operator	Yuma
rundate	2/4/2021
Sample name	12OCB
proceduresegments	Jump 100.00 °C; Isothermal 10.0 min; Jump 0.00 °C; Isothermal 5.0 min; Mark End of Cycle ; Ramp 5.00 °C/min to 100.00 °C; Mark End of Cycle ; Ramp 5.00 °C/min to 0.00 °C; Mark End of Cycle ; Ramp 5.00 °C/min to 100.00 °C; Mark End of Cycle ; Ramp 1.00 °C/min to 0.00 °C; Mark End of Cycle ; Ramp 5.00 °C/min to 100.00 °C; Mark End of Cycle ; Ramp 10.00 °C/min to 0.00 °C; Mark End of Cycle ; Ramp 10.00 °C/min to 100.00 °C; Mark End of Cycle ; Jump 0.00 °C; Mark End of Cycle 
[step]
Ramp 1.00 °C/min to 0.00 °C
Time	Temperature	Heat Flow (Normalized)
s	°C	W/g
4500.30	98.93	-0.151854
4500.40	98.94	-0.151735
4500.50	98.95	-0.151710
4500.60	98.96	-0.151708
4500.70	98.97	-0.151820
4500.80	98.98	-0.152090
4500.90	98.98	-0.152167
4501.00	98.99	-0.152247
4501.10	99.00	-0.152386
4501.20	99.01	-0.152461
4501.30	99.02	-0.152466
4501.40	99.03	-0.152455
4501.50	99.03	-0.152372
4501.60	99.04	-0.152254
4501.70	99.05	-0.152122
4501.80	99.06	-0.152015
4501.90	99.07	-0.151352
4502.00	99.07	-0.148980
4502.10	99.08	-0.144772
4502.20	99.09	-0.140238
4502.30	99.10	-0.137238
4502.40	99.10	-0.134759
4502.50	99.11	-0.129604
4502.60	99.12	-0.127296
4502.70	99.13	-0.125751
4502.80	99.14	-0.126232
4502.90	99.14	-0.126943
4503.00	99.15	-0.127115
4503.10	99.16	-0.127040
4503.20	99.16	-0.124284
4503.30	99.17	-0.119376
4503.40	99.18	-0.116819
4503.50	99.19	-0.114154
4503.60	99.19	-0.110481
4503.70	99.20	-0.106751
4503.80	99.21	-0.103134
4503.90	99.22	-0.101590
4504.00	99.22	-0.100890
4504.10	99.23	-0.100359
4504.20	99.23	-0.100593
4504.30	99.24	-0.0995351
