Filename	12OCBSqA424
Instrument name	DSC2A-00101 (192.168.10.4)
Operator	Yuma
rundate	3/16/2021
Sample name	12OCBSqA424
proceduresegments	Data Off ; Equilibrate 150.00 °C; Isothermal 10.0 min; Equilibrate 100.00 °C; Isothermal 5.0 min; Data On ; Ramp 1.00 °C/min to 0.00 °C; Ramp 5.00 °C/min to 150.00 °C; Data Off ; Isothermal 10.0 min; Modulate Temperature 1.00 °C for 60.0 s; Equilibrate 100.00 °C; Isothermal 10.0 min; Data On ; Ramp 1.00 °C/min to 0.00 °C; Data Off ; Equilibrate 0.00 °C; Modulate Temperature 1.00 °C for 60.0 s; Isothermal 5.0 min; Data On ; Ramp 3.00 °C/min to 100.00 °C; Jump 30.00 °C
[step]
Ramp 1.00 °C/min to 0.00 °C
Time	Temperature	Heat Flow (Normalized)
s	°C	W/g
0.00000	99.85	0.0171441
0.100000	99.85	0.0171355
0.200000	99.85	0.0171309
0.300000	99.85	0.0171311
0.400000	99.85	0.0171350
0.500000	99.85	0.0171423
0.600000	99.85	0.0171539
0.700000	99.85	0.0171757
0.800000	99.85	0.0171859
0.900000	99.85	0.0171920
1.00000	99.85	0.0171912
1.10000	99.85	0.0171871
1.20000	99.85	0.0171799
1.30000	99.85	0.0171623
1.40000	99.85	0.0171526
1.50000	99.85	0.0171458
1.60000	99.85	0.0171392
1.70000	99.85	0.0171366
1.80000	99.85	0.0171378
1.90000	99.85	0.0171403
2.00000	99.85	0.0171411
2.10000	99.85	0.0171387
2.20000	99.85	0.0171359
2.30000	99.85	0.0171330
2.40000	99.85	0.0171290
2.50000	99.85	0.0171280
2.60000	99.85	0.0171253
2.70000	99.85	0.0171175
2.80000	99.85	0.0170950
2.90000	99.85	0.0170715
3.00000	99.85	0.0170559
3.10000	99.85	0.0170375
3.20000	99.85	0.0170031
3.30000	99.85	0.0169729
3.40000	99.85	0.0169341
3.50000	99.85	0.0168876
3.60000	99.85	0.0168485
3.70000	99.85	0.0168171
3.80000	99.85	0.0167760
3.90000	99.85	0.0166856
4.00000	99.85	0.0165489
4.10000	99.84	0.0164078
4.20000	99.85	0.0162210
4.30000	99.84	0.0160039
4.40000	99.84	0.0158466
4.50000	99.84	0.0157657
4.60000	99.84	0.0157101
4.70000	99.84	0.0156600
4.80000	99.84	0.0155815
4.90000	99.84	0.0154820
5.00000	99.84	0.0153230
5.10000	99.84	0.0151279
5.20000	99.84	0.0148768
5.30000	99.84	0.0146171
5.40000	99.84	0.0143764
5.50000	99.84	0.0141270
5.60000	99.84	0.0139681
5.70000	99.84	0.0138305
5.80000	99.84	0.0137489
5.90000	99.84	0.0137002
6.00000	99.84	0.0136542
6.10000	99.83	0.0136011
6.20000	99.83	0.0135718
6.30000	99.83	0.0135154
6.40000	99.83	0.0134949
6.50000	99.83	0.0134810
6.60000	99.83	0.0134683
6.70000	99.83	0.0134527
6.80000	99.83	0.0134363
6.90000	99.83	0.0134108
7.00000	99.83	0.0133818
7.10000	99.83	0.0133630
7.20000	99.83	0.0133438
7.30000	99.82	0.0133280
7.40000	99.82	0.0133188
7.50000	99.82	0.0133163
7.60000	99.82	0.0133307
7.70000	99.82	0.0133658
7.80000	99.82	0.0133812
7.90000	99.82	0.0134085
8.00000	99.82	0.0134671
8.10000	99.82	0.0135186
8.20000	99.82	0.0135571
8.30000	99.82	0.0135867
8.40000	99.81	0.0136246
8.50000	99.81	0.0136593
8.60000	99.81	0.0137124
8.70000	99.81	0.0137653
8.80000	99.81	0.0138725
8.90000	99.81	0.0139824
9.00000	99.81	0.0141407
9.10000	99.81	0.0143452
9.20000	99.81	0.0146748
9.30000	99.80	0.0151235
9.40000	99.80	0.0156239
