Filename	Sq12OCB59T150
Instrument name	DSC2A-00101 (192.168.10.4)
Operator	Yuma
rundate	2/9/2021
Sample name	Sq12OCB59T150
proceduresegments	Jump 150.00 °C; Isothermal 10.0 min; Jump 0.00 °C; Isothermal 5.0 min; Mark End of Cycle ; Ramp 5.00 °C/min to 150.00 °C; Mark End of Cycle ; Ramp 5.00 °C/min to 0.00 °C; Mark End of Cycle ; Ramp 5.00 °C/min to 150.00 °C; Mark End of Cycle ; Ramp 1.00 °C/min to 0.00 °C; Mark End of Cycle ; Ramp 5.00 °C/min to 150.00 °C; Mark End of Cycle ; Ramp 10.00 °C/min to 0.00 °C; Mark End of Cycle ; Ramp 10.00 °C/min to 150.00 °C; Mark End of Cycle ; Jump 0.00 °C; Mark End of Cycle 
[step]
Ramp 1.00 °C/min to 0.00 °C
Time	Temperature	Heat Flow (Normalized)
s	°C	W/g
6300.50	149.03	-0.183374
6300.60	149.04	-0.183406
6300.70	149.05	-0.183434
6300.80	149.05	-0.183458
6300.90	149.06	-0.183522
6301.00	149.07	-0.183533
6301.10	149.08	-0.183546
6301.20	149.09	-0.183574
6301.30	149.10	-0.183621
6301.40	149.10	-0.183628
6301.50	149.11	-0.183629
6301.60	149.12	-0.183628
6301.70	149.13	-0.183618
6301.80	149.14	-0.183609
6301.90	149.15	-0.183492
6302.00	149.15	-0.183424
6302.10	149.16	-0.183343
6302.20	149.17	-0.183259
6302.30	149.18	-0.183256
6302.40	149.19	-0.183269
6302.50	149.19	-0.183300
6302.60	149.20	-0.183425
6302.70	149.21	-0.183685
6302.80	149.22	-0.183905
6302.90	149.22	-0.184100
6303.00	149.23	-0.184388
6303.10	149.24	-0.185244
6303.20	149.25	-0.186286
6303.30	149.25	-0.186967
6303.40	149.26	-0.187341
6303.50	149.27	-0.187753
6303.60	149.28	-0.188118
6303.70	149.29	-0.189167
6303.80	149.29	-0.191034
6303.90	149.30	-0.193177
6304.00	149.31	-0.194625
6304.10	149.31	-0.197200
6304.20	149.32	-0.201305
6304.30	149.33	-0.204489
6304.40	149.33	-0.207678
6304.50	149.34	-0.209711
6304.60	149.35	-0.211412
6304.70	149.35	-0.212857
6304.80	149.36	-0.214522
6304.90	149.37	-0.216655
6305.00	149.37	-0.219750
6305.10	149.38	-0.221566
6305.20	149.39	-0.224042
6305.30	149.39	-0.225223
6305.40	149.40	-0.227582
6305.50	149.40	-0.230892
6305.60	149.41	-0.233909
6305.70	149.41	-0.236136
6305.80	149.42	-0.238858
6305.90	149.43	-0.240583
6306.00	149.43	-0.243112
6306.10	149.44	-0.245802
6306.20	149.44	-0.248475
6306.30	149.45	-0.250740
6306.40	149.45	-0.250350
6306.50	149.45	-0.250595
6306.60	149.46	-0.251883
6306.70	149.46	-0.253019
6306.80	149.47	-0.253805
6306.90	149.47	-0.254351
6307.00	149.48	-0.254795
6307.10	149.48	-0.256111
6307.20	149.49	-0.256628
6307.30	149.49	-0.257636
6307.40	149.49	-0.258329
6307.50	149.50	-0.257050
6307.60	149.50	-0.255944
6307.70	149.50	-0.254879
6307.80	149.51	-0.255555
6307.90	149.51	-0.255544
6308.00	149.51	-0.255328
6308.10	149.52	-0.255559
6308.20	149.52	-0.255089
6308.30	149.52	-0.254533
6308.40	149.53	-0.254262
6308.50	149.53	-0.253896
6308.60	149.53	-0.252113
6308.70	149.53	-0.250012
6308.80	149.54	-0.247966
6308.90	149.54	-0.246534
6309.00	149.54	-0.245570
6309.10	149.54	-0.244037
6309.20	149.54	-0.242226
6309.30	149.55	-0.239986
6309.40	149.55	-0.237817
6309.50	149.55	-0.235177
6309.60	149.55	-0.232779
6309.70	149.55	-0.230074
6309.80	149.56	-0.226748
6309.90	149.56	-0.224324
6310.00	149.56	-0.221245
6310.10	149.56	-0.218841
6310.20	149.56	-0.216382
6310.30	149.56	-0.213524
6310.40	149.57	-0.211505
6310.50	149.57	-0.209267
6310.60	149.57	-0.206224
6310.70	149.57	-0.203455
6310.80	149.57	-0.200699
6310.90	149.57	-0.197699
6311.00	149.57	-0.195131
6311.10	149.57	-0.192383
6311.20	149.58	-0.189519
6311.30	149.58	-0.187128
6311.40	149.58	-0.184808
6311.50	149.58	-0.182809
6311.60	149.58	-0.180330
6311.70	149.58	-0.177542
6311.80	149.58	-0.175243
6311.90	149.58	-0.172441
6312.00	149.58	-0.169599
6312.10	149.58	-0.166396
6312.20	149.58	-0.163349
6312.30	149.58	-0.160798
6312.40	149.58	-0.158398
6312.50	149.59	-0.156147
6312.60	149.58	-0.153937
6312.70	149.59	-0.151344
6312.80	149.59	-0.148848
6312.90	149.59	-0.146580
6313.00	149.59	-0.144488
6313.10	149.59	-0.141831
6313.20	149.59	-0.138241
6313.30	149.59	-0.135490
6313.40	149.59	-0.133053
6313.50	149.59	-0.131208
6313.60	149.59	-0.128763
6313.70	149.59	-0.126964
6313.80	149.59	-0.124808
6313.90	149.59	-0.122949
6314.00	149.59	-0.120726
6314.10	149.59	-0.118782
6314.20	149.59	-0.116613
