Filename	Sq12OCB458
Instrument name	DSC2A-00101 (192.168.10.4)
Operator	Yuma
rundate	2/3/2021
Sample name	Sq12OCB458
proceduresegments	Jump 100.00 °C; Isothermal 10.0 min; Jump 0.00 °C; Isothermal 5.0 min; Mark End of Cycle ; Ramp 5.00 °C/min to 100.00 °C; Mark End of Cycle ; Ramp 5.00 °C/min to 0.00 °C; Mark End of Cycle ; Ramp 5.00 °C/min to 100.00 °C; Mark End of Cycle ; Ramp 1.00 °C/min to 0.00 °C; Mark End of Cycle ; Ramp 5.00 °C/min to 100.00 °C; Mark End of Cycle ; Ramp 10.00 °C/min to 0.00 °C; Mark End of Cycle ; Ramp 10.00 °C/min to 100.00 °C; Mark End of Cycle ; Jump 0.00 °C; Mark End of Cycle 
[step]
Ramp 1.00 °C/min to 0.00 °C
Time	Temperature	Heat Flow (Normalized)
s	°C	W/g
4500.30	98.88	-0.156573
4500.40	98.89	-0.156567
4500.50	98.90	-0.156555
4500.60	98.91	-0.156526
4500.70	98.92	-0.156522
4500.80	98.92	-0.156518
4500.90	98.93	-0.156516
4501.00	98.94	-0.156514
4501.10	98.95	-0.156512
4501.20	98.96	-0.156515
4501.30	98.97	-0.156519
4501.40	98.97	-0.156528
4501.50	98.98	-0.156529
4501.60	98.99	-0.156530
4501.70	99.00	-0.156526
4501.80	99.01	-0.156528
4501.90	99.01	-0.156528
4502.00	99.02	-0.156525
4502.10	99.03	-0.156498
4502.20	99.04	-0.156433
4502.30	99.05	-0.156353
4502.40	99.06	-0.156204
4502.50	99.06	-0.156076
4502.60	99.07	-0.155884
4502.70	99.08	-0.155800
4502.80	99.09	-0.155755
4502.90	99.09	-0.155747
4503.00	99.10	-0.155744
4503.10	99.11	-0.155745
4503.20	99.12	-0.155757
4503.30	99.12	-0.155813
4503.40	99.13	-0.155891
4503.50	99.14	-0.156005
4503.60	99.14	-0.156162
4503.70	99.15	-0.156495
4503.80	99.16	-0.157185
4503.90	99.16	-0.157985
4504.00	99.17	-0.159039
4504.10	99.18	-0.160445
4504.20	99.19	-0.162387
4504.30	99.19	-0.165424
4504.40	99.20	-0.167291
4504.50	99.21	-0.168845
4504.60	99.21	-0.170790
4504.70	99.22	-0.172813
4504.80	99.22	-0.175451
4504.90	99.23	-0.178120
4505.00	99.23	-0.180560
4505.10	99.24	-0.182904
4505.20	99.25	-0.185252
4505.30	99.25	-0.188163
4505.40	99.26	-0.190532
4505.50	99.26	-0.192024
4505.60	99.27	-0.193830
4505.70	99.27	-0.195915
4505.80	99.28	-0.197280
4505.90	99.28	-0.198801
4506.00	99.29	-0.200746
4506.10	99.29	-0.202458
4506.20	99.30	-0.203614
4506.30	99.30	-0.205887
4506.40	99.30	-0.207903
4506.50	99.31	-0.209897
4506.60	99.31	-0.211130
4506.70	99.32	-0.212045
4506.80	99.32	-0.213035
4506.90	99.33	-0.212946
4507.00	99.33	-0.213266
4507.10	99.33	-0.214410
4507.20	99.33	-0.215124
4507.30	99.34	-0.215231
4507.40	99.34	-0.216326
