Filename	8OCBSA000
Instrument name	DSC2A-00101 (192.168.10.4)
Operator	Yuma
rundate	5/27/2021
Sample name	8OCBSA000
proceduresegments	Data Off ; Equilibrate 150.00 °C; Isothermal 10.0 min; Equilibrate 100.00 °C; Isothermal 5.0 min; Data On ; Ramp 1.00 °C/min to 0.00 °C; Ramp 5.00 °C/min to 150.00 °C; Data Off ; Isothermal 10.0 min; Modulate Temperature 1.00 °C for 60.0 s; Equilibrate 100.00 °C; Isothermal 10.0 min; Data On ; Ramp 1.00 °C/min to 0.00 °C; Ramp 3.00 °C/min to 100.00 °C; Jump 30.00 °C
[step]
Ramp 1.00 °C/min to 0.00 °C
Time	Temperature	Heat Flow (Normalized)
s	°C	W/g
0.00000	99.84	1.42665e-3
0.100000	99.84	1.42796e-3
0.200000	99.84	1.43227e-3
0.300000	99.84	1.43299e-3
0.400000	99.84	1.43656e-3
0.500000	99.84	1.44208e-3
0.600000	99.84	1.45057e-3
0.700000	99.84	1.46128e-3
0.800000	99.84	1.49190e-3
0.900000	99.84	1.50357e-3
1.00000	99.84	1.51171e-3
1.10000	99.84	1.51992e-3
1.20000	99.84	1.52652e-3
1.30000	99.84	1.52765e-3
1.40000	99.84	1.52571e-3
1.50000	99.84	1.52433e-3
1.60000	99.84	1.52207e-3
1.70000	99.84	1.51804e-3
1.80000	99.84	1.51575e-3
1.90000	99.84	1.51762e-3
2.00000	99.84	1.51752e-3
2.10000	99.84	1.51653e-3
2.20000	99.84	1.51627e-3
2.30000	99.84	1.51637e-3
2.40000	99.84	1.51725e-3
2.50000	99.84	1.51999e-3
2.60000	99.84	1.52557e-3
2.70000	99.84	1.52635e-3
2.80000	99.84	1.52746e-3
2.90000	99.84	1.53348e-3
3.00000	99.84	1.54458e-3
3.10000	99.84	1.56288e-3
3.20000	99.84	1.59016e-3
3.30000	99.84	1.61639e-3
3.40000	99.84	1.64239e-3
3.50000	99.84	1.65938e-3
3.60000	99.84	1.67074e-3
3.70000	99.84	1.68281e-3
3.80000	99.84	1.69216e-3
3.90000	99.84	1.69781e-3
4.00000	99.84	1.70032e-3
4.10000	99.84	1.70481e-3
4.20000	99.84	1.71338e-3
4.30000	99.84	1.72341e-3
4.40000	99.84	1.73305e-3
4.50000	99.84	1.74737e-3
4.60000	99.84	1.76801e-3
4.70000	99.84	1.78443e-3
4.80000	99.83	1.80109e-3
4.90000	99.83	1.82087e-3
5.00000	99.83	1.83757e-3
5.10000	99.83	1.84613e-3
5.20000	99.83	1.85655e-3
5.30000	99.83	1.86560e-3
5.40000	99.83	1.86698e-3
5.50000	99.83	1.86718e-3
5.60000	99.83	1.86295e-3
5.70000	99.83	1.85268e-3
5.80000	99.83	1.83338e-3
5.90000	99.83	1.82178e-3
6.00000	99.83	1.81430e-3
6.10000	99.83	1.80232e-3
6.20000	99.83	1.78937e-3
6.30000	99.83	1.78019e-3
6.40000	99.82	1.76526e-3
6.50000	99.82	1.74271e-3
6.60000	99.82	1.69601e-3
6.70000	99.82	1.61266e-3
6.80000	99.82	1.49056e-3
6.90000	99.82	1.29765e-3
7.00000	99.82	1.08486e-3
7.10000	99.82	8.77600e-4
7.20000	99.82	6.87441e-4
7.30000	99.82	5.83323e-4
7.40000	99.82	5.34380e-4
7.50000	99.82	4.91602e-4
7.60000	99.81	4.78539e-4
7.70000	99.81	4.67782e-4
7.80000	99.81	4.52969e-4
7.90000	99.81	4.44860e-4
8.00000	99.81	4.31922e-4
8.10000	99.81	4.15112e-4
8.20000	99.81	3.94695e-4
8.30000	99.81	3.54097e-4
8.40000	99.81	3.07953e-4
8.50000	99.81	2.62723e-4
8.60000	99.80	1.93059e-4
8.70000	99.80	1.32560e-4
8.80000	99.80	1.02544e-4
8.90000	99.80	6.64280e-5
9.00000	99.80	4.42240e-5
9.10000	99.80	2.26598e-5
9.20000	99.80	6.89375e-6
9.30000	99.80	-6.75589e-6
9.40000	99.80	-1.67167e-5
9.50000	99.79	-2.67310e-5
9.60000	99.79	-3.77857e-5
9.70000	99.79	-4.87195e-5
9.80000	99.79	-6.12980e-5
9.90000	99.79	-7.61062e-5
10.0000	99.79	-9.37790e-5
10.1000	99.79	-1.09353e-4
10.2000	99.79	-1.28839e-4
10.3000	99.79	-1.45708e-4
10.4000	99.78	-1.62718e-4
10.5000	99.78	-1.72495e-4
10.6000	99.78	-1.81007e-4
10.7000	99.78	-1.89309e-4
10.8000	99.78	-1.93997e-4
10.9000	99.78	-1.92999e-4
11.0000	99.78	-1.89646e-4
11.1000	99.77	-1.76463e-4
11.2000	99.77	-1.54018e-4
11.3000	99.77	-1.38827e-4
11.4000	99.77	-1.20259e-4
11.5000	99.77	-9.37185e-5
11.6000	99.77	-7.90087e-5
11.7000	99.77	-7.17140e-5
11.8000	99.77	-6.84415e-5
11.9000	99.77	-6.57752e-5
12.0000	99.76	-6.08917e-5
12.1000	99.76	-5.16674e-5
12.2000	99.76	-1.79692e-5
12.3000	99.76	6.62229e-5
12.4000	99.76	1.64189e-4
12.5000	99.76	3.25080e-4
12.6000	99.76	5.93292e-4
12.7000	99.76	8.92180e-4
12.8000	99.75	1.16586e-3
12.9000	99.75	1.40836e-3
13.0000	99.75	1.67188e-3
13.1000	99.75	1.81862e-3
13.2000	99.75	1.94324e-3
13.3000	99.75	2.06281e-3
13.4000	99.75	2.14330e-3
13.5000	99.74	2.24369e-3
13.6000	99.74	2.34452e-3
13.7000	99.74	2.43535e-3
13.8000	99.74	2.54886e-3
13.9000	99.74	2.68056e-3
14.0000	99.74	2.81436e-3
14.1000	99.74	2.96214e-3
14.2000	99.73	3.14612e-3
14.3000	99.73	3.38037e-3
14.4000	99.73	3.59102e-3
14.5000	99.73	3.79478e-3
14.6000	99.73	4.00127e-3
14.7000	99.73	4.15656e-3
14.8000	99.72	4.28478e-3
14.9000	99.72	4.47502e-3
15.0000	99.72	4.64947e-3
15.1000	99.72	4.87425e-3
15.2000	99.72	5.23353e-3
15.3000	99.72	5.63473e-3
15.4000	99.72	5.97664e-3
15.5000	99.72	6.32857e-3
15.6000	99.71	6.68207e-3
15.7000	99.71	7.03381e-3
15.8000	99.71	7.26142e-3
15.9000	99.71	7.43835e-3
16.0000	99.71	7.58407e-3
16.1000	99.71	7.68384e-3
16.2000	99.70	7.79103e-3
16.3000	99.70	7.98048e-3
16.4000	99.70	8.20900e-3
16.5000	99.70	8.42540e-3
16.6000	99.70	8.58799e-3
16.7000	99.70	8.73024e-3
16.8000	99.70	8.86263e-3
16.9000	99.69	9.01599e-3
17.0000	99.69	9.15099e-3
17.1000	99.69	9.26573e-3
17.2000	99.69	9.39073e-3
17.3000	99.69	9.49540e-3
17.4000	99.69	9.64059e-3
17.5000	99.68	9.82016e-3
17.6000	99.68	0.0100293
17.7000	99.68	0.0102544
17.8000	99.68	0.0105029
17.9000	99.68	0.0107047
18.0000	99.68	0.0109049
18.1000	99.68	0.0110860
18.2000	99.67	0.0112940
18.3000	99.67	0.0114917
18.4000	99.67	0.0116599
18.5000	99.67	0.0118910
18.6000	99.67	0.0121861
18.7000	99.67	0.0124785
18.8000	99.67	0.0127302
18.9000	99.66	0.0129414
19.0000	99.66	0.0131358
19.1000	99.66	0.0132727
19.2000	99.66	0.0133520
19.3000	99.66	0.0134297
19.4000	99.66	0.0135374
19.5000	99.65	0.0136419
19.6000	99.65	0.0137383
19.7000	99.65	0.0138223
19.8000	99.65	0.0139166
19.9000	99.65	0.0140151
20.0000	99.65	0.0141402
20.1000	99.65	0.0142394
20.2000	99.64	0.0143204
20.3000	99.64	0.0144057
20.4000	99.64	0.0145054
20.5000	99.64	0.0146428
20.6000	99.64	0.0147488
20.7000	99.64	0.0148537
20.8000	99.63	0.0149221
20.9000	99.63	0.0149921
21.0000	99.63	0.0151327
21.1000	99.63	0.0153222
21.2000	99.63	0.0154813
21.3000	99.63	0.0156309
21.4000	99.62	0.0157695
21.5000	99.62	0.0159047
21.6000	99.62	0.0160596
21.7000	99.62	0.0161490
21.8000	99.62	0.0162169
21.9000	99.62	0.0162685
22.0000	99.62	0.0163082
22.1000	99.61	0.0163660
22.2000	99.61	0.0164195
22.3000	99.61	0.0164584
22.4000	99.61	0.0164973
22.5000	99.61	0.0165451
22.6000	99.61	0.0166072
22.7000	99.60	0.0167016
22.8000	99.60	0.0168127
22.9000	99.60	0.0169636
23.0000	99.60	0.0171519
23.1000	99.60	0.0174289
23.2000	99.60	0.0177229
23.3000	99.59	0.0180362
23.4000	99.59	0.0182218
23.5000	99.59	0.0183397
23.6000	99.59	0.0184740
23.7000	99.59	0.0185819
23.8000	99.59	0.0186702
23.9000	99.58	0.0187159
24.0000	99.58	0.0187455
24.1000	99.58	0.0188007
24.2000	99.58	0.0188889
24.3000	99.58	0.0189912
24.4000	99.58	0.0190817
24.5000	99.58	0.0191428
24.6000	99.57	0.0191816
24.7000	99.57	0.0192085
24.8000	99.57	0.0192445
24.9000	99.57	0.0192878
25.0000	99.57	0.0193119
25.1000	99.57	0.0193672
25.2000	99.56	0.0194055
25.3000	99.56	0.0194275
25.4000	99.56	0.0194507
25.5000	99.56	0.0194734
25.6000	99.56	0.0194993
25.7000	99.56	0.0195344
25.8000	99.56	0.0195756
25.9000	99.55	0.0196325
26.0000	99.55	0.0196894
26.1000	99.55	0.0197363
26.2000	99.55	0.0197642
26.3000	99.55	0.0198139
26.4000	99.55	0.0198459
26.5000	99.54	0.0198710
26.6000	99.54	0.0199287
26.7000	99.54	0.0199608
26.8000	99.54	0.0199858
26.9000	99.54	0.0200158
27.0000	99.54	0.0200441
27.1000	99.53	0.0200742
27.2000	99.53	0.0201213
27.3000	99.53	0.0201713
27.4000	99.53	0.0202395
27.5000	99.53	0.0203087
27.6000	99.53	0.0203767
27.7000	99.52	0.0204572
27.8000	99.52	0.0205343
27.9000	99.52	0.0205949
28.0000	99.52	0.0206332
28.1000	99.52	0.0206645
28.2000	99.52	0.0207052
28.3000	99.51	0.0207343
28.4000	99.51	0.0207632
28.5000	99.51	0.0207986
28.6000	99.51	0.0208221
28.7000	99.51	0.0208594
28.8000	99.51	0.0208876
28.9000	99.50	0.0209198
29.0000	99.50	0.0209518
29.1000	99.50	0.0209828
29.2000	99.50	0.0210151
29.3000	99.50	0.0210480
29.4000	99.50	0.0210858
29.5000	99.49	0.0211352
29.6000	99.49	0.0211765
29.7000	99.49	0.0212114
29.8000	99.49	0.0212454
29.9000	99.49	0.0212772
30.0000	99.49	0.0213099
30.1000	99.48	0.0213434
30.2000	99.48	0.0213785
30.3000	99.48	0.0214135
30.4000	99.48	0.0214473
30.5000	99.48	0.0214796
30.6000	99.48	0.0215157
30.7000	99.47	0.0215519
30.8000	99.47	0.0215864
30.9000	99.47	0.0216175
31.0000	99.47	0.0216484
31.1000	99.47	0.0216819
31.2000	99.47	0.0217150
31.3000	99.46	0.0217482
31.4000	99.46	0.0217806
31.5000	99.46	0.0218109
31.6000	99.46	0.0218395
31.7000	99.46	0.0218688
31.8000	99.46	0.0218976
31.9000	99.46	0.0219242
32.0000	99.45	0.0219493
32.1000	99.45	0.0219735
32.2000	99.45	0.0220018
32.3000	99.45	0.0220316
32.4000	99.45	0.0220625
32.5000	99.45	0.0220952
32.6000	99.44	0.0221306
32.7000	99.44	0.0221689
32.8000	99.44	0.0222057
32.9000	99.44	0.0222432
33.0000	99.44	0.0222778
33.1000	99.44	0.0223104
33.2000	99.43	0.0223411
33.3000	99.43	0.0223677
33.4000	99.43	0.0223930
33.5000	99.43	0.0224207
33.6000	99.43	0.0224516
33.7000	99.43	0.0224863
33.8000	99.42	0.0225263
33.9000	99.42	0.0225741
34.0000	99.42	0.0226286
34.1000	99.42	0.0226653
34.2000	99.42	0.0227003
34.3000	99.42	0.0227335
34.4000	99.42	0.0227635
34.5000	99.41	0.0227895
34.6000	99.41	0.0228124
34.7000	99.41	0.0228350
34.8000	99.41	0.0228618
34.9000	99.41	0.0228898
35.0000	99.41	0.0229198
35.1000	99.40	0.0229515
35.2000	99.40	0.0229803
35.3000	99.40	0.0230094
35.4000	99.40	0.0230415
35.5000	99.40	0.0230731
35.6000	99.40	0.0231078
35.7000	99.39	0.0231412
35.8000	99.39	0.0231738
35.9000	99.39	0.0232057
36.0000	99.39	0.0232379
36.1000	99.39	0.0232691
36.2000	99.38	0.0232998
36.3000	99.38	0.0233260
36.4000	99.38	0.0233515
36.5000	99.38	0.0233772
36.6000	99.38	0.0234043
36.7000	99.38	0.0234323
36.8000	99.38	0.0234637
36.9000	99.37	0.0234964
37.0000	99.37	0.0235306
37.1000	99.37	0.0235607
37.2000	99.37	0.0235900
37.3000	99.37	0.0236202
37.4000	99.36	0.0236517
37.5000	99.36	0.0236832
37.6000	99.36	0.0237119
37.7000	99.36	0.0237401
37.8000	99.36	0.0237670
37.9000	99.36	0.0237934
38.0000	99.36	0.0238183
38.1000	99.35	0.0238427
38.2000	99.35	0.0238669
38.3000	99.35	0.0238900
38.4000	99.35	0.0239134
38.5000	99.35	0.0239375
38.6000	99.34	0.0239625
38.7000	99.34	0.0239863
38.8000	99.34	0.0240066
38.9000	99.34	0.0240264
39.0000	99.34	0.0240458
39.1000	99.34	0.0240676
39.2000	99.33	0.0240905
39.3000	99.33	0.0241172
39.4000	99.33	0.0241462
39.5000	99.33	0.0241779
39.6000	99.33	0.0242091
39.7000	99.33	0.0242418
39.8000	99.33	0.0242757
39.9000	99.32	0.0243072
40.0000	99.32	0.0243349
40.1000	99.32	0.0243615
40.2000	99.32	0.0243846
40.3000	99.32	0.0244078
40.4000	99.32	0.0244295
40.5000	99.31	0.0244508
40.6000	99.31	0.0244704
40.7000	99.31	0.0244873
40.8000	99.31	0.0245055
40.9000	99.31	0.0245248
41.0000	99.31	0.0245449
41.1000	99.30	0.0245667
41.2000	99.30	0.0245895
41.3000	99.30	0.0246129
41.4000	99.30	0.0246383
41.5000	99.30	0.0246692
41.6000	99.30	0.0247012
41.7000	99.29	0.0247300
41.8000	99.29	0.0247571
41.9000	99.29	0.0247832
42.0000	99.29	0.0248094
42.1000	99.29	0.0248337
42.2000	99.29	0.0248542
42.3000	99.28	0.0248747
42.4000	99.28	0.0248939
42.5000	99.28	0.0249128
42.6000	99.28	0.0249332
42.7000	99.28	0.0249548
42.8000	99.28	0.0249746
42.9000	99.28	0.0249923
43.0000	99.27	0.0250107
43.1000	99.27	0.0250311
43.2000	99.27	0.0250499
43.3000	99.27	0.0250685
43.4000	99.27	0.0250895
43.5000	99.27	0.0251110
43.6000	99.26	0.0251300
43.7000	99.26	0.0251500
43.8000	99.26	0.0251709
43.9000	99.26	0.0251914
44.0000	99.26	0.0252115
44.1000	99.26	0.0252295
44.2000	99.25	0.0252484
44.3000	99.25	0.0252678
44.4000	99.25	0.0252891
44.5000	99.25	0.0253131
44.6000	99.25	0.0253388
44.7000	99.24	0.0253625
44.8000	99.24	0.0253849
44.9000	99.24	0.0254051
45.0000	99.24	0.0254209
