Filename	8OCBSA042
Instrument name	DSC2A-00101 (192.168.10.4)
Operator	Yuma
rundate	5/28/2021
Sample name	8OCBSA042
proceduresegments	Data Off ; Equilibrate 150.00 °C; Isothermal 10.0 min; Equilibrate 100.00 °C; Isothermal 5.0 min; Data On ; Ramp 1.00 °C/min to 0.00 °C; Ramp 5.00 °C/min to 150.00 °C; Data Off ; Isothermal 10.0 min; Modulate Temperature 1.00 °C for 60.0 s; Equilibrate 100.00 °C; Isothermal 10.0 min; Data On ; Ramp 1.00 °C/min to 0.00 °C; Ramp 3.00 °C/min to 100.00 °C; Jump 30.00 °C
[step]
Ramp 1.00 °C/min to 0.00 °C
Time	Temperature	Heat Flow (Normalized)
s	°C	W/g
0.00000	99.84	2.03718e-3
0.100000	99.84	2.03789e-3
0.200000	99.84	2.03937e-3
0.300000	99.84	2.04049e-3
0.400000	99.84	2.04215e-3
0.500000	99.84	2.04304e-3
0.600000	99.84	2.04265e-3
0.700000	99.84	2.04271e-3
0.800000	99.84	2.04166e-3
0.900000	99.84	2.04019e-3
1.00000	99.84	2.03989e-3
1.10000	99.84	2.04012e-3
1.20000	99.84	2.04025e-3
1.30000	99.84	2.04080e-3
1.40000	99.84	2.04119e-3
1.50000	99.84	2.04349e-3
1.60000	99.84	2.04610e-3
1.70000	99.84	2.04797e-3
1.80000	99.84	2.04945e-3
1.90000	99.84	2.05061e-3
2.00000	99.84	2.05151e-3
2.10000	99.84	2.05277e-3
2.20000	99.84	2.05431e-3
2.30000	99.84	2.05661e-3
2.40000	99.84	2.05828e-3
2.50000	99.84	2.05963e-3
2.60000	99.84	2.06134e-3
2.70000	99.83	2.06278e-3
2.80000	99.84	2.06302e-3
2.90000	99.84	2.06379e-3
3.00000	99.84	2.06523e-3
3.10000	99.83	2.06667e-3
3.20000	99.83	2.06756e-3
3.30000	99.83	2.06901e-3
3.40000	99.83	2.07144e-3
3.50000	99.83	2.07480e-3
3.60000	99.83	2.07813e-3
3.70000	99.83	2.08045e-3
3.80000	99.83	2.08268e-3
3.90000	99.83	2.08318e-3
4.00000	99.83	2.08264e-3
4.10000	99.83	2.08237e-3
4.20000	99.83	2.08224e-3
4.30000	99.83	2.08080e-3
4.40000	99.83	2.07873e-3
4.50000	99.83	2.07687e-3
4.60000	99.83	2.07578e-3
4.70000	99.83	2.07525e-3
4.80000	99.83	2.07249e-3
4.90000	99.83	2.06028e-3
5.00000	99.83	2.03898e-3
5.10000	99.83	1.99784e-3
5.20000	99.83	1.96578e-3
5.30000	99.83	1.92208e-3
5.40000	99.83	1.86865e-3
5.50000	99.83	1.81451e-3
5.60000	99.83	1.77828e-3
5.70000	99.83	1.74347e-3
5.80000	99.82	1.71885e-3
5.90000	99.82	1.69026e-3
6.00000	99.82	1.64729e-3
6.10000	99.82	1.57129e-3
6.20000	99.82	1.49820e-3
6.30000	99.82	1.43265e-3
6.40000	99.82	1.34848e-3
6.50000	99.82	1.27264e-3
6.60000	99.82	1.18846e-3
6.70000	99.82	1.12091e-3
6.80000	99.82	1.03333e-3
6.90000	99.82	9.25684e-4
7.00000	99.82	8.38892e-4
7.10000	99.82	7.73158e-4
7.20000	99.81	6.77484e-4
7.30000	99.81	5.88969e-4
7.40000	99.81	5.07164e-4
7.50000	99.81	4.16244e-4
7.60000	99.81	3.59531e-4
7.70000	99.81	3.06385e-4
7.80000	99.81	2.34038e-4
7.90000	99.81	1.65411e-4
8.00000	99.81	1.08681e-4
8.10000	99.81	8.13307e-5
8.20000	99.81	6.55216e-5
8.30000	99.81	5.15293e-5
8.40000	99.80	4.34157e-5
8.50000	99.80	2.91863e-5
8.60000	99.80	2.04472e-5
8.70000	99.80	1.95603e-5
8.80000	99.80	1.85741e-5
8.90000	99.80	1.34317e-5
9.00000	99.80	9.31920e-6
9.10000	99.80	3.13054e-6
9.20000	99.80	2.44721e-6
9.30000	99.80	2.82130e-6
9.40000	99.79	3.35126e-6
9.50000	99.79	4.73479e-6
9.60000	99.79	7.25620e-6
9.70000	99.79	1.49095e-5
9.80000	99.79	2.66669e-5
9.90000	99.79	4.33021e-5
10.0000	99.79	6.94443e-5
10.1000	99.79	8.99254e-5
10.2000	99.79	1.18641e-4
10.3000	99.79	1.64752e-4
10.4000	99.78	2.51035e-4
10.5000	99.78	3.73423e-4
10.6000	99.78	5.01818e-4
10.7000	99.78	6.25098e-4
10.8000	99.78	7.74116e-4
10.9000	99.78	9.20735e-4
11.0000	99.78	1.06705e-3
11.1000	99.78	1.22053e-3
11.2000	99.78	1.38760e-3
11.3000	99.77	1.54970e-3
11.4000	99.77	1.71615e-3
11.5000	99.77	1.92907e-3
11.6000	99.77	2.14461e-3
11.7000	99.77	2.31632e-3
11.8000	99.77	2.50844e-3
11.9000	99.77	2.68876e-3
12.0000	99.77	2.94324e-3
12.1000	99.77	3.21851e-3
12.2000	99.76	3.46990e-3
12.3000	99.76	3.79273e-3
12.4000	99.76	4.07850e-3
12.5000	99.76	4.34464e-3
12.6000	99.76	4.59947e-3
12.7000	99.76	4.80192e-3
12.8000	99.76	5.02584e-3
12.9000	99.76	5.23847e-3
13.0000	99.76	5.47869e-3
13.1000	99.75	5.75723e-3
13.2000	99.75	6.02310e-3
13.3000	99.75	6.25639e-3
13.4000	99.75	6.49781e-3
13.5000	99.75	6.73066e-3
13.6000	99.75	6.91936e-3
13.7000	99.75	7.13814e-3
13.8000	99.74	7.27269e-3
13.9000	99.74	7.38948e-3
14.0000	99.74	7.55510e-3
14.1000	99.74	7.71494e-3
14.2000	99.74	7.97734e-3
14.3000	99.74	8.24617e-3
14.4000	99.74	8.45475e-3
14.5000	99.74	8.53690e-3
14.6000	99.73	8.66006e-3
14.7000	99.73	8.82754e-3
14.8000	99.73	9.00520e-3
14.9000	99.73	9.24629e-3
15.0000	99.73	9.46847e-3
15.1000	99.73	9.73741e-3
15.2000	99.73	9.94778e-3
15.3000	99.72	0.0101715
15.4000	99.72	0.0104535
15.5000	99.72	0.0105904
15.6000	99.72	0.0107459
15.7000	99.72	0.0109696
15.8000	99.72	0.0111264
15.9000	99.72	0.0112526
16.0000	99.72	0.0114401
16.1000	99.71	0.0115491
16.2000	99.71	0.0117130
16.3000	99.71	0.0118601
16.4000	99.71	0.0119566
16.5000	99.71	0.0120497
16.6000	99.71	0.0121729
16.7000	99.71	0.0123771
16.8000	99.71	0.0126298
16.9000	99.70	0.0129283
17.0000	99.70	0.0132191
17.1000	99.70	0.0135613
17.2000	99.70	0.0137892
17.3000	99.70	0.0140275
17.4000	99.70	0.0141646
17.5000	99.69	0.0142746
17.6000	99.69	0.0143548
17.7000	99.69	0.0144578
17.8000	99.69	0.0145155
17.9000	99.69	0.0145379
18.0000	99.69	0.0145967
18.1000	99.69	0.0147418
18.2000	99.69	0.0149218
18.3000	99.69	0.0151088
18.4000	99.68	0.0152931
18.5000	99.68	0.0154965
18.6000	99.68	0.0157225
18.7000	99.68	0.0159515
18.8000	99.68	0.0161973
18.9000	99.68	0.0163690
19.0000	99.67	0.0165068
19.1000	99.67	0.0165996
19.2000	99.67	0.0168007
19.3000	99.67	0.0169846
19.4000	99.67	0.0170556
19.5000	99.67	0.0171103
19.6000	99.67	0.0171616
19.7000	99.67	0.0172276
19.8000	99.66	0.0173303
19.9000	99.66	0.0174981
20.0000	99.66	0.0176282
20.1000	99.66	0.0177951
20.2000	99.66	0.0179818
20.3000	99.66	0.0182413
20.4000	99.65	0.0186202
20.5000	99.65	0.0188937
20.6000	99.65	0.0190787
20.7000	99.65	0.0192086
20.8000	99.65	0.0192231
20.9000	99.65	0.0192377
21.0000	99.65	0.0192732
21.1000	99.64	0.0193109
21.2000	99.64	0.0193286
21.3000	99.64	0.0193767
21.4000	99.64	0.0194972
21.5000	99.64	0.0196771
21.6000	99.64	0.0199321
21.7000	99.64	0.0201879
21.8000	99.63	0.0204965
21.9000	99.63	0.0206841
22.0000	99.63	0.0207937
22.1000	99.63	0.0208927
22.2000	99.63	0.0209453
22.3000	99.63	0.0209638
22.4000	99.63	0.0209858
22.5000	99.62	0.0210223
22.6000	99.62	0.0210663
22.7000	99.62	0.0211079
22.8000	99.62	0.0211966
22.9000	99.62	0.0213718
23.0000	99.62	0.0215331
23.1000	99.62	0.0217125
23.2000	99.61	0.0219436
23.3000	99.61	0.0221059
23.4000	99.61	0.0222451
23.5000	99.61	0.0223881
23.6000	99.61	0.0225097
23.7000	99.61	0.0225594
23.8000	99.60	0.0225941
23.9000	99.60	0.0226220
24.0000	99.60	0.0226742
24.1000	99.60	0.0227289
24.2000	99.60	0.0228009
24.3000	99.60	0.0229122
24.4000	99.60	0.0230289
24.5000	99.59	0.0231416
24.6000	99.59	0.0232713
24.7000	99.59	0.0233913
24.8000	99.59	0.0235665
24.9000	99.59	0.0237162
25.0000	99.59	0.0238574
25.1000	99.59	0.0239664
25.2000	99.58	0.0240658
25.3000	99.58	0.0241408
25.4000	99.58	0.0242177
25.5000	99.58	0.0242615
25.6000	99.58	0.0243216
25.7000	99.58	0.0244026
25.8000	99.58	0.0244758
25.9000	99.57	0.0245875
26.0000	99.57	0.0247277
26.1000	99.57	0.0248723
26.2000	99.57	0.0249825
26.3000	99.57	0.0250726
26.4000	99.57	0.0251181
26.5000	99.56	0.0251557
26.6000	99.56	0.0251750
26.7000	99.56	0.0251864
26.8000	99.56	0.0251985
26.9000	99.56	0.0252215
27.0000	99.56	0.0252560
27.1000	99.55	0.0253175
27.2000	99.55	0.0253867
27.3000	99.55	0.0254572
27.4000	99.55	0.0255682
27.5000	99.55	0.0256968
27.6000	99.55	0.0258191
27.7000	99.54	0.0259181
27.8000	99.54	0.0260502
27.9000	99.54	0.0261697
28.0000	99.54	0.0262465
28.1000	99.54	0.0263182
28.2000	99.54	0.0264108
28.3000	99.54	0.0264803
28.4000	99.53	0.0265281
28.5000	99.53	0.0265733
28.6000	99.53	0.0266019
28.7000	99.53	0.0266128
28.8000	99.53	0.0266407
28.9000	99.53	0.0267014
29.0000	99.52	0.0267755
29.1000	99.52	0.0268446
29.2000	99.52	0.0269371
29.3000	99.52	0.0270311
29.4000	99.52	0.0271191
29.5000	99.52	0.0271923
29.6000	99.51	0.0272686
29.7000	99.51	0.0273048
29.8000	99.51	0.0273326
29.9000	99.51	0.0273584
30.0000	99.51	0.0273851
30.1000	99.51	0.0274166
30.2000	99.51	0.0274403
30.3000	99.50	0.0274768
30.4000	99.50	0.0275209
30.5000	99.50	0.0275655
30.6000	99.50	0.0276281
30.7000	99.50	0.0276910
30.8000	99.50	0.0277444
30.9000	99.49	0.0277876
31.0000	99.49	0.0278261
31.1000	99.49	0.0278725
31.2000	99.49	0.0279301
31.3000	99.49	0.0279695
31.4000	99.49	0.0280120
31.5000	99.48	0.0280558
31.6000	99.48	0.0281043
31.7000	99.48	0.0281747
31.8000	99.48	0.0282417
31.9000	99.48	0.0283201
32.0000	99.48	0.0284106
32.1000	99.48	0.0284984
32.2000	99.47	0.0285763
32.3000	99.47	0.0286566
32.4000	99.47	0.0287327
32.5000	99.47	0.0288058
32.6000	99.47	0.0288709
32.7000	99.47	0.0289171
32.8000	99.46	0.0289460
32.9000	99.46	0.0289718
33.0000	99.46	0.0290012
33.1000	99.46	0.0290386
33.2000	99.46	0.0290792
33.3000	99.46	0.0291097
33.4000	99.45	0.0291343
33.5000	99.45	0.0291607
33.6000	99.45	0.0291868
33.7000	99.45	0.0292175
33.8000	99.45	0.0292464
33.9000	99.45	0.0292744
34.0000	99.45	0.0293079
34.1000	99.44	0.0293471
34.2000	99.44	0.0294088
34.3000	99.44	0.0294802
34.4000	99.44	0.0295424
34.5000	99.44	0.0295979
34.6000	99.44	0.0296308
34.7000	99.43	0.0296592
34.8000	99.43	0.0296755
34.9000	99.43	0.0296907
35.0000	99.43	0.0297177
35.1000	99.43	0.0297463
35.2000	99.43	0.0297804
35.3000	99.42	0.0298222
35.4000	99.42	0.0298642
35.5000	99.42	0.0299075
35.6000	99.42	0.0299365
35.7000	99.42	0.0299565
35.8000	99.42	0.0299759
35.9000	99.41	0.0299922
36.0000	99.41	0.0300139
36.1000	99.41	0.0300348
36.2000	99.41	0.0300650
36.3000	99.41	0.0301026
36.4000	99.41	0.0301519
36.5000	99.40	0.0301993
36.6000	99.40	0.0302468
36.7000	99.40	0.0302747
36.8000	99.40	0.0302914
36.9000	99.40	0.0303000
37.0000	99.40	0.0303049
37.1000	99.40	0.0303122
37.2000	99.39	0.0303161
37.3000	99.39	0.0303209
37.4000	99.39	0.0303294
37.5000	99.39	0.0303479
37.6000	99.39	0.0303729
37.7000	99.39	0.0304057
37.8000	99.38	0.0304526
37.9000	99.38	0.0304920
38.0000	99.38	0.0305347
38.1000	99.38	0.0305636
38.2000	99.38	0.0305957
38.3000	99.38	0.0306116
38.4000	99.37	0.0306196
38.5000	99.37	0.0306321
38.6000	99.37	0.0306522
38.7000	99.37	0.0306759
38.8000	99.37	0.0306954
38.9000	99.37	0.0307086
39.0000	99.36	0.0307193
39.1000	99.36	0.0307296
39.2000	99.36	0.0307397
39.3000	99.36	0.0307529
39.4000	99.36	0.0307648
39.5000	99.36	0.0307755
39.6000	99.35	0.0307869
39.7000	99.35	0.0308076
